time [s],demand [MW]
0,9402.10666057548
1800,9291.34041454137
3600,9144.08403771447
5400,8921.44056943559
7200,8626.69930748484
9000,8429.09289121847
10800,8245.87104709142
12600,8071.28111122477
14400,7916.06663555406
16200,7853.40647406693
18000,7793.24105740527
19800,7749.80576635133
21600,7665.06257684147
23400,7737.77818896848
25200,7990.75680040489
27000,8396.9117929589
28800,8569.81354099665
30600,8894.89980550278
32400,8892.28733935892
34200,9361.57894220447
36000,9303.11290683391
37800,9362.85705494176
39600,9293.59215173006
41400,9409.64775405078
43200,9577.08279945255
45000,9584.44595301905
46800,9623.02117911938
48600,9683.7363378268
50400,9658.75047020742
52200,9701.92362565011
54000,9572.39151263986
55800,9689.61886802519
57600,9608.05186425858
59400,9676.33641813141
61200,9746.89942412177
63000,9893.20058175713
64800,9906.32389219194
66600,9920.12354016113
68400,9787.33276901653
70200,9714.29416511784
72000,9833.5649732931
73800,9815.52514105884
75600,9943.74097925165
77400,9910.70574831267
79200,9899.03527187851
81000,9933.11461545998
82800,9735.58438544617
84600,9605.52231573172
86400,9370.71229892896
88200,8963.92305059721
90000,8704.83459954427
91800,8318.01776348281
93600,8228.77798788402
95400,8314.93368065306
97200,8137.01006491917
99000,7921.55618995077
100800,7848.90192654695
102600,7759.81298985638
104400,7720.06140644596
106200,7697.64193414516
108000,7398.93116122801
109800,7323.00438311626
111600,7380.2588901157
113400,7487.15937596679
115200,7588.78147153472
117000,7684.25867789408
118800,8103.13494359896
120600,8430.76283793968
122400,8761.62631178259
124200,9100.81241549779
126000,9429.04683693476
127800,9656.9991643912
129600,9704.49591739835
131400,9887.14120832685
133200,9977.25901057176
135000,9981.40506708001
136800,9908.34209651743
138600,9788.96700333491
140400,9866.92087985279
142200,9836.27268478706
144000,9865.11722844027
145800,9998.19920294446
147600,10048.5326995908
149400,10040.0582049012
151200,10121.9248152977
153000,9940.80949958071
154800,9838.18650794022
156600,9688.49286217834
158400,9635.64037269323
160200,9741.18374885971
162000,9687.10205999607
163800,9517.48214557264
165600,9459.69549607511
167400,9453.16484291553
169200,9255.64878827119
171000,8952.93649414943
172800,8642.23019398655
174600,8482.39351958237
176400,8488.70053402028
178200,8414.83573758369
180000,8162.62531205365
181800,8002.42525266988
183600,7681.40518439505
185400,7454.803473358
187200,7353.54549899178
189000,7282.4386597889
190800,7228.62491645154
192600,7128.55546844207
194400,6873.74792295827
196200,6774.84795213888
198000,6709.19591407065
199800,6689.31975266332
201600,6638.77976662016
203400,6655.98468519189
205200,6818.35636678181
207000,7162.32386607486
208800,7558.61418904723
210600,8073.42459191516
212400,8275.72046800965
214200,8585.69807970694
216000,8800.74809619659
217800,8980.96278541504
219600,8924.58590386448
221400,9083.9905925591
223200,9140.91140761353
225000,9260.03136477159
226800,9250.88119131825
228600,9266.73178330535
230400,9492.49342090419
232200,9510.54705334449
234000,9345.45558886491
235800,9423.50881649729
237600,9470.06132987445
239400,9709.94444455157
241200,9777.71050733908
243000,9852.17176662488
244800,10065.2809153538
246600,9944.72343778862
248400,9972.18849131805
250200,9992.89401463211
252000,10062.5388078805
253800,9892.40032663949
255600,9741.67891165554
257400,9578.7555060753
259200,9248.54884843334
261000,8980.44692863012
262800,8669.29548911727
264600,8455.42710382823
266400,8359.4145152602
268200,8447.18894097437
270000,8207.59562971311
271800,8095.5718979986
273600,8035.54825522955
275400,7904.67376086022
277200,7913.30940284523
279000,7985.02526947884
280800,7915.05176797319
282600,8110.38569050182
284400,8450.55678860981
286200,8940.24161642482
288000,9450.46777278696
289800,9648.80247938076
291600,9625.9096859864
293400,9631.00447283702
295200,9547.45220841476
297000,9451.62563086571
298800,9464.19456620941
300600,9493.87583351635
302400,9568.18673971
304200,9579.35862365151
306000,9710.52671735311
307800,9693.86416538324
309600,9854.64189624724
311400,9876.73920090914
313200,9785.92931520163
315000,9861.51418374669
316800,9839.56231657873
318600,9879.4697734958
320400,9946.81742795515
322200,10001.7897543891
324000,10141.8647955523
325800,10075.0327224183
327600,10046.4839221739
329400,10014.6525966082
331200,10031.9278217105
333000,9989.51316879216
334800,9985.28436592091
336600,9924.53167441266
338400,9788.79933176949
340200,9586.9098162584
342000,9563.85577399952
343800,9327.34556190636
