unit #,station #,lat,lon,p_min,p_max,reliability,transition_duration,start_duration,main_cost,sec_cost
1,1,31.850518,34.664132,120,150,reliable,20,20,30,420
2,1,31.850518,34.664132,120,150,reliable,20,20,30,420
3,1,31.850518,34.664132,120,150,reliable,20,20,30,420
4,1,31.850518,34.664132,120,150,reliable,20,20,30,420
5,1,31.850518,34.664132,120,150,reliable,20,20,30,420
6,1,31.850518,34.664132,120,150,reliable,20,20,30,420
7,1,31.850518,34.664132,120,150,reliable,20,20,30,420
8,1,31.850518,34.664132,120,150,reliable,20,20,30,420
9,1,31.850518,34.664132,120,150,reliable,20,20,30,420
10,1,31.850518,34.664132,120,150,reliable,20,20,30,420
11,1,31.850518,34.664132,120,150,reliable,20,20,30,420
12,1,31.850518,34.664132,120,150,reliable,20,20,30,420
13,1,31.850518,34.664132,120,150,reliable,20,20,30,420
14,1,31.850518,34.664132,120,150,reliable,20,20,30,420
15,1,31.850518,34.664132,120,150,reliable,20,20,30,420
16,2,31.807118,34.824611,120,150,reliable,20,20,30,420
17,2,31.807118,34.824611,120,150,reliable,20,20,30,420
18,2,31.807118,34.824611,120,150,reliable,20,20,30,420
19,2,31.807118,34.824611,120,150,reliable,20,20,30,420
20,2,31.807118,34.824611,120,150,reliable,20,20,30,420
21,2,31.807118,34.824611,120,150,reliable,20,20,30,420
22,2,31.807118,34.824611,120,150,reliable,20,20,30,420
23,2,31.807118,34.824611,120,150,reliable,20,20,30,420
24,2,31.807118,34.824611,120,150,reliable,20,20,30,420
25,2,31.807118,34.824611,120,150,reliable,20,20,30,420
26,2,31.807118,34.824611,120,150,reliable,20,20,30,420
27,2,31.807118,34.824611,120,150,reliable,20,20,30,420
28,3,31.591095,34.750985,120,150,reliable,20,20,30,420
29,3,31.591095,34.750985,120,150,reliable,20,20,30,420
30,3,31.591095,34.750985,120,150,reliable,20,20,30,420
31,3,31.591095,34.750985,120,150,reliable,20,20,30,420
32,3,31.591095,34.750985,120,150,reliable,20,20,30,420
33,4,31.64142,34.527968,120,150,reliable,20,20,30,420
34,4,31.64142,34.527968,120,150,reliable,20,20,30,420
35,4,31.64142,34.527968,120,150,reliable,20,20,30,420
36,4,31.64142,34.527968,120,150,reliable,20,20,30,420
37,4,31.64142,34.527968,120,150,reliable,20,20,30,420
38,4,31.64142,34.527968,120,150,reliable,20,20,30,420
39,4,31.64142,34.527968,120,150,reliable,20,20,30,420
40,4,31.64142,34.527968,120,150,reliable,20,20,30,420
41,5,31.135307,34.793188,120,150,reliable,20,20,30,420
42,5,31.135307,34.793188,120,150,reliable,20,20,30,420
43,5,31.135307,34.793188,120,150,reliable,20,20,30,420
44,5,31.135307,34.793188,120,150,reliable,20,20,30,420
45,5,31.135307,34.793188,120,150,reliable,20,20,30,420
46,5,31.135307,34.793188,120,150,reliable,20,20,30,420
47,5,31.135307,34.793188,120,150,reliable,20,20,30,420
48,5,31.135307,34.793188,120,150,reliable,20,20,30,420
49,5,31.135307,34.793188,120,150,reliable,20,20,30,420
50,5,31.135307,34.793188,120,150,reliable,20,20,30,420
51,5,31.135307,34.793188,120,150,reliable,20,20,30,420
52,6,31.043186,35.366209,120,150,reliable,20,20,30,420
53,6,31.043186,35.366209,120,150,reliable,20,20,30,420
54,6,31.043186,35.366209,120,150,reliable,20,20,30,420
55,6,31.043186,35.366209,120,150,reliable,20,20,30,420
56,6,31.043186,35.366209,120,150,reliable,20,20,30,420
57,9,32.621916,35.050104,120,150,reliable,20,20,30,420
58,9,32.621916,35.050104,120,150,reliable,20,20,30,420
59,9,32.621916,35.050104,120,150,reliable,20,20,30,420
60,9,32.621916,35.050104,120,150,reliable,20,20,30,420
61,9,32.621916,35.050104,120,150,reliable,20,20,30,420
62,9,32.621916,35.050104,120,150,reliable,20,20,30,420
63,9,32.621916,35.050104,120,150,reliable,20,20,30,420
64,9,32.621916,35.050104,120,150,reliable,20,20,30,420
65,9,32.621916,35.050104,120,150,reliable,20,20,30,420
66,9,32.621916,35.050104,120,150,reliable,20,20,30,420
67,9,32.621916,35.050104,120,150,reliable,20,20,30,420
68,9,32.621916,35.050104,120,150,reliable,20,20,30,420
69,9,32.621916,35.050104,120,150,reliable,20,20,30,420
70,10,32.81464,35.024023,120,150,reliable,20,20,30,420
71,10,32.81464,35.024023,120,150,reliable,20,20,30,420
72,10,32.81464,35.024023,120,150,reliable,20,20,30,420
73,10,32.81464,35.024023,120,150,reliable,20,20,30,420
74,10,32.81464,35.024023,120,150,reliable,20,20,30,420
75,10,32.81464,35.024023,120,150,reliable,20,20,30,420
76,10,32.81464,35.024023,120,150,reliable,20,20,30,420
77,10,32.81464,35.024023,120,150,reliable,20,20,30,420
78,11,32.648552,35.356444,120,150,reliable,20,20,30,420
79,11,32.648552,35.356444,120,150,reliable,20,20,30,420
80,11,32.648552,35.356444,120,150,reliable,20,20,30,420
81,11,32.648552,35.356444,120,150,reliable,20,20,30,420
82,11,32.648552,35.356444,120,150,reliable,20,20,30,420
83,11,32.648552,35.356444,120,150,reliable,20,20,30,420
